,airline,source_city,departure_time,stops,arrival_time,destination_city,class,days_left,price
464,1,2,0,0,0,5,1,4,8790
465,2,2,1,0,5,5,1,4,8869
466,3,2,0,0,5,5,1,4,8885
467,1,2,1,0,5,5,1,4,9000
468,1,2,1,0,5,5,1,4,9000
469,2,2,2,0,5,5,1,4,9447
470,5,2,0,0,5,5,1,4,9840
471,5,2,4,0,5,5,1,4,9840
472,5,2,5,0,4,5,1,4,9840
473,5,2,5,0,0,5,1,4,9840
474,5,2,0,0,4,5,1,4,9840
475,5,2,4,0,4,5,1,4,9840
476,5,2,0,0,0,5,1,4,9840
477,5,2,5,0,5,5,1,4,9840
478,1,2,1,0,0,5,1,4,9525
479,3,2,0,0,2,5,1,4,9788
480,1,2,2,0,2,5,1,4,9905
481,1,2,0,0,0,5,1,4,9988
482,5,2,2,0,5,5,1,4,10575
483,5,2,2,0,5,5,1,4,10575
484,5,2,0,0,5,5,1,4,10575
485,5,2,2,0,4,5,1,4,10575
486,5,2,2,0,0,5,1,4,10575
487,1,2,2,0,5,5,1,4,10260
488,3,2,2,0,5,5,1,4,10349
489,3,2,4,0,0,5,1,4,10523
490,2,2,4,0,2,5,1,4,10549
491,2,2,1,0,0,5,1,4,10575
492,1,2,2,0,2,5,1,4,10680
493,5,2,2,0,0,5,1,4,11205
494,5,2,0,0,0,5,1,4,11573
495,5,2,4,0,0,5,1,4,11625
496,2,2,1,1,2,5,1,4,11295
497,2,2,4,0,2,5,1,4,11609
498,5,2,0,0,2,5,1,4,12150
499,5,2,2,0,5,5,1,4,12150
500,5,2,0,0,5,5,1,4,12150
501,5,2,0,0,5,5,1,4,12150
502,5,2,4,0,5,5,1,4,12150
503,5,2,4,0,5,5,1,4,12150
504,5,2,2,0,4,5,1,4,12150
505,5,2,4,0,5,5,1,4,12150
506,5,2,4,0,5,5,1,4,12150
507,5,2,2,0,4,5,1,4,12150
508,5,2,2,0,4,5,1,4,12150
509,5,2,2,0,4,5,1,4,12150
510,5,2,2,0,4,5,1,4,12150
511,1,2,1,0,0,5,1,4,11900
512,1,2,0,0,5,5,1,4,12150
513,1,2,4,0,5,5,1,4,12150
514,1,2,5,0,4,5,1,4,12150
515,1,2,1,0,5,5,1,4,12150
516,1,2,2,0,4,5,1,4,12150
517,1,2,0,0,4,5,1,4,12150
518,1,2,4,0,4,5,1,4,12150
519,1,2,1,0,4,5,1,4,12150
520,4,2,0,0,0,5,1,4,12228
521,1,2,1,0,0,5,1,4,12298
522,3,2,1,0,0,5,1,4,12302
523,1,2,0,0,2,5,1,4,12360
524,3,2,1,0,4,5,1,4,12518
525,5,2,0,0,5,5,1,4,12990
526,5,2,2,0,4,5,1,4,12990
527,5,2,2,0,4,5,1,4,12990
528,5,2,2,0,0,5,1,4,12990
529,5,2,2,0,0,5,1,4,12990
530,1,2,5,0,4,5,1,4,12990
531,1,2,2,0,4,5,1,4,12990
532,1,2,5,0,0,5,1,4,12990
533,1,2,2,0,0,5,1,4,12990
534,1,2,5,0,5,5,1,4,12990
535,2,2,4,0,2,5,1,4,13043
536,5,2,2,0,4,5,1,4,13410
537,5,2,2,0,4,5,1,4,13410
538,5,2,0,0,4,5,1,4,13410
539,5,2,1,0,4,5,1,4,13410
540,4,2,1,0,4,5,1,4,13200
541,5,2,0,0,5,5,1,4,14565
542,5,2,1,0,5,5,1,4,14565
543,1,2,4,0,2,5,1,4,14775
544,1,2,4,0,5,5,1,4,15143
545,5,2,1,0,5,5,1,4,15825
546,1,2,4,0,0,5,1,4,15720
547,1,2,0,0,2,5,1,4,15825
548,1,2,4,0,2,5,1,4,15825
549,1,2,1,0,2,5,1,4,15825
550,5,2,1,0,5,5,1,4,16665
551,5,2,1,0,5,5,1,4,17505
552,2,2,4,0,2,5,1,4,17243
553,5,2,1,0,5,5,1,4,18345
554,5,2,1,0,0,5,1,4,18450
555,5,2,2,0,5,5,1,4,19815
556,5,2,1,0,0,5,1,4,20130
557,1,2,2,0,5,5,1,4,20025
558,1,2,0,0,5,5,1,4,20025
559,1,2,5,0,2,5,1,4,21180
560,1,2,2,0,2,5,1,4,21180
561,1,2,4,0,0,5,1,4,21390
562,1,2,1,0,0,5,1,4,24540
