airline,source_city,departure_time,stops,arrival_time,destination_city,class,days_left,price
1,2,5,0,4,5,1,5,12990
1,2,1,0,5,5,1,5,12990
0,2,2,0,1,5,1,5,12990
1,2,2,0,4,5,1,5,12990
5,2,2,0,4,5,1,5,13410
1,2,0,0,2,5,1,5,13200
3,2,1,0,2,5,1,5,13279
5,2,2,0,5,5,1,5,13725
5,2,0,0,5,5,1,5,13725
1,2,5,0,0,5,1,5,13410
1,2,2,0,0,5,1,5,13410
5,2,4,0,0,5,1,5,13830
1,2,0,0,0,5,1,5,13506
1,2,0,0,0,5,1,5,14031
1,2,5,0,5,5,1,5,14355
5,2,1,0,0,5,1,5,14880
5,2,1,0,5,5,1,5,14880
1,2,2,0,5,5,1,5,14670
1,2,0,0,5,5,1,5,14670
1,2,2,0,0,5,1,5,14985
1,2,4,0,0,5,1,5,15405
1,2,4,0,0,5,1,5,15615
3,2,4,0,2,5,1,5,15720
